村人,ROLE,VILLAGER
占い師,ROLE,SEER
霊媒師,ROLE,MEDIUM
狩人,ROLE,BODYGUARD
人狼,ROLE,WEREWOLF
人間,SPECIES,HUMAN
人狼,SPECIES,WEREWOLF
日,DAY,DAY
番目,SPEECH,ID:
話,TALKTYPE,TALK
囁き,TALKTYPE,WHISPER
思う,VERB,ESTIMATE
宣言,VERB,COMINGOUT
占う,VERB,DIVINATION
護衛,VERB,GUARD
投票,VERB,VOTE
襲撃,VERB,ATTACK
占った,VERB,DIVINED
霊能,VERB,IDENTIFIED
護衛した,VERB,GUARDED
賛成,VERB,AGREE
反対,VERB,DISAGREE
ほしい,OPERATOR,REQUEST
SKIP,OPERATOR,SKIP
OVER,OPERATOR,OVER
